23.09.2026                                   Salida dinámica de lista                                                                                        1


		Material	Alm.	Grupo art.	Texto breve material	UMB	LibrUtiliz	Insp.cal.	Bloqueado	Valor libre util.	Valor en insp.cal.	Valor stock bloq.
		266043	0280	MGR052	50J C/O CONTROL PROD TERM P/SABOR Y PR.	UN	        0	       0	       0	            0.00	             0.00	            0.00
		266044	0230	MGR052	ENCUADER100. LINEAS DE PROD BITACORA	UN	        0	       0	       0	            0.00	             0.00	            0.00
		266044	0231	MGR052	ENCUADER100. LINEAS DE PROD BITACORA	UN	        0	       0	       0	            0.00	             0.00	            0.00
		266044	0280	MGR052	ENCUADER100. LINEAS DE PROD BITACORA	UN	        0	       0	       0	            0.00	             0.00	            0.00
		266045	0230	MGR052	ENCUADER200. LINEAS DE PROD BITACORA	UN	        0	       0	       0	            0.00	             0.00	            0.00
		266045	0231	MGR052	ENCUADER200. LINEAS DE PROD BITACORA	UN	        0	       0	       0	            0.00	             0.00	            0.00
		266045	0280	MGR052	ENCUADER200. LINEAS DE PROD BITACORA	UN	        0	       0	       0	            0.00	             0.00	            0.00
		266047	0230	MGR052	PB 80 GRS COND. LAVADORA LINEA 6 Y 7	UN	        0	       0	       0	            0.00	             0.00	            0.00
		266047	0231	MGR052	PB 80 GRS COND. LAVADORA LINEA 6 Y 7	UN	        0	       0	       0	            0.00	             0.00	            0.00
		266047	0280	MGR052	PB 80 GRS COND. LAVADORA LINEA 6 Y 7	UN	        0	       0	       0	            0.00	             0.00	            0.00
		266048	0230	MGR052	PB 80 GRS REPORTE DE SANEAMIENTO	UN	        0	       0	       0	            0.00	             0.00	            0.00
		266048	0231	MGR052	PB 80 GRS REPORTE DE SANEAMIENTO	UN	        0	       0	       0	            0.00	             0.00	            0.00
		266048	0280	MGR052	PB 80 GRS REPORTE DE SANEAMIENTO	UN	        0	       0	       0	            0.00	             0.00	            0.00
		266052	0230	MGR052	COMPAGINADO REQUI. DE INSUMO CART.	UN	        0	       0	       0	            0.00	             0.00	            0.00
		266052	0231	MGR052	COMPAGINADO REQUI. DE INSUMO CART.	UN	        0	       0	       0	            0.00	             0.00	            0.00
		266052	0280	MGR052	COMPAGINADO REQUI. DE INSUMO CART.	UN	        0	       0	       0	            0.00	             0.00	            0.00
		266053	0230	MGR052	COMPAGINADO DEVOL. DE INSUMO CART.	UN	        0	       0	       0	            0.00	             0.00	            0.00
		266053	0231	MGR052	COMPAGINADO DEVOL. DE INSUMO CART.	UN	        0	       0	       0	            0.00	             0.00	            0.00
		266053	0280	MGR052	COMPAGINADO DEVOL. DE INSUMO CART.	UN	        0	       0	       0	            0.00	             0.00	            0.00
		266056	0230	MGR052	BLOCK REGISTRO PROC.DE FILTRADO CART.	UN	        0	       0	       0	            0.00	             0.00	            0.00
		266056	0231	MGR052	BLOCK REGISTRO PROC.DE FILTRADO CART.	UN	        0	       0	       0	            0.00	             0.00	            0.00
		266056	0280	MGR052	BLOCK REGISTRO PROC.DE FILTRADO CART.	UN	        0	       0	       0	            0.00	             0.00	            0.00
		266057	0230	MGR052	BLOCK REG. DIARIO JARABE EN TANQUE C	UN	        0	       0	       0	            0.00	             0.00	            0.00
		266057	0231	MGR052	BLOCK REG. DIARIO JARABE EN TANQUE C	UN	        0	       0	       0	            0.00	             0.00	            0.00
